date,description
1931-01-02,Home
1931-01-03,»Events
1931-01-05,»WW2 Timeline
1931-01-08,» 1931 Timeline
1931-01-15,HMS Hermes arrived at Hong Kong.ww2dbase[Hermes|CPC]
1931-01-16,"Marshal Joseph Joffre, the former French Commander-in-Chief (1914-1916), passed away.ww2dbase[AC]"
1931-01-21,"USS R-1 departed San Diego, California, United States.ww2dbase[R-1|San Diego, California|CPC]"
1931-01-26,HMS Eagle departed Malta.ww2dbase[Eagle|CPC]
1931-01-27,"USS Louisville was commissioned at Puget Sound Naval Shipyard, Bremerton, Washington, United States.ww2dbase[Puget Sound Navy Yard|Louisville|Bremerton, Washington|CPC]"
1931-01-28,Seiji Tsukamoto succeeded Masahiro Ota as the Governor-General of Kwantung Leased Territory in northeastern China.ww2dbase[CPC]
1931-01-30,Masahiro Ota was named the governor-general of Taiwan.ww2dbase[CPC]
1931-01-31,Sir Isaac Isaacs became the first Australian-born Governor-General of the Commonwealth of Australia.ww2dbase[AC]
1931-02-01,"Production of T-26 light tanks began in Bolshevik Factory in Leningrad, Russia.ww2dbase[T-26|Leningrad|CPC]"
1931-02-05,Pierre Laval became the 101st Prime Minister of France.ww2dbase[Pierre Laval|CPC]
1931-02-09,USS R-5 transited the Panama Canal.ww2dbase[Panama Canal|R-5|CPC]
1931-02-13,Augusta was commissioned into service.ww2dbase[Augusta|CPC]
1931-02-14,Ernst Ziehm became the President of the Senate of Danzig.ww2dbase[CPC]
1931-02-20,"Hellmuth Felmy's son, future actor Hansjörg Felmy, was born in Berlin, Germany.ww2dbase[Hellmuth Felmy|Berlin|CPC]"
1931-02-23,Hugo Sperrle was promoted to the rank of Oberstleutnant.ww2dbase[Hugo Sperrle|CPC]
1931-03-01,Henry Arnold was promoted to the rank of lieutenant colonel.ww2dbase[Henry Arnold|CPC]
1931-03-02,"Malcolm Campbell broke the World land speed record by achieving 246.09 miles per hour at Daytona Beach, Florida, United States.  For this achievement he would be knighted by King George V on his return to Southampton, England, United Kingdom.ww2dbase[Daytona Beach, Florida|AC]"
1931-03-03,"USS R-1 arrived at Philadelphia, Pennsylvania, United States.ww2dbase[R-1|CPC]"
1931-03-04,"USS R-5 arrived at New London, Connecticut, United States.ww2dbase[R-5|New London, Connecticut|CPC]"
1931-03-05,"USS R-14 arrived at New London, Connecticut, United States.ww2dbase[R-14|New London, Connecticut|CPC]"
1931-03-09,New Delhi became the capital of India.ww2dbase[New Delhi|AC]
1931-03-18,The T-27 tankette was accepted into Soviet service.ww2dbase[T-27|CPC]
1931-03-19,The first T-26 light tanks entered Soviet military service.ww2dbase[T-26|CPC]
1931-03-28,Spanish Prime Minister Dámasco Berenguer resigned and was succeeded by Admiral Aznar-Cabañas.ww2dbase[AC]
1931-03-29,"USS S-29 departed Mare Island Navy Yard, Vallejo, California, United States.ww2dbase[Mare Island Navy Yard|S-29/P556|Vallejo, California|CPC]"
1931-03-31,"Kumulik Uygurs rebelled against warlord of Xinjiang Jin Shuren in western China.ww2dbase[Xinjiang Wars|Kumul, Xinjiang|CPC]"
1931-04-01,"The keel of light cruiser Ninghai was laid down by Harima Dock Company, Limited of Japan.ww2dbase[Ninghai|CPC]"
1931-04-11,The Soviet Air Force approved the TB-3 heavy bomber design for mass production.ww2dbase[TB-3|CPC]
1931-04-14,"USS S-28 arrived at Pearl Harbor, US Territory of Hawaii.ww2dbase[Pearl Harbor Navy Base and Ford Island Naval Air Station|S-28|Honolulu, Oahu|CPC]"
1931-04-15,"USS S-27 arrived at Pearl Harbor, US Territory of Hawaii.ww2dbase[S-27|Honolulu, Oahu|CPC]"
1931-04-22,"USS S-29 arrived at Pearl Harbor, US Territory of Hawaii.ww2dbase[S-29/P556|Honolulu, Oahu|CPC]"
1931-04-24,USS Arizona completed her modernization and was placed in full commission status.ww2dbase[Arizona|CPC]
1931-04-25,Lin Sen was made the head of the Legislative Yuan of the Republic of China.ww2dbase[Lin Sen|CPC]
1931-05-01,"The US Congress formally adopted ""The Star Spangled Banner"" as the US national anthem.ww2dbase[Washington|AC]"
1931-05-09,Colbert was commissioned into service.ww2dbase[Colbert|CPC]
1931-05-11,James Byrnes became a member of the US Senate.ww2dbase[James Byrnes|Washington|CPC]
1931-05-14,"Gandhi reached agreement with Lord Irwin, the Viceroy of India, which would end the civil disobedience campaign in return for a round table conference to decide constitutional reform in India.ww2dbase[AC]"
1931-05-15,"USS New Mexico began modernization work at Philadelphia Navy Yard, Pennsylvania, United States.ww2dbase[Philadelphia Navy Yard|New Mexico|Philadelphia, Pennsylvania|CPC]"
1931-05-19,Cruiser USS Chicago (CA-29) was commissioned into service with Captain Manley Hale Simons in command.ww2dbase[Chicago|AC]
1931-05-25,"Rear Admiral William W. Phelps was named the commanding officer of New York Navy Yard in Brooklyn, New York, United States.ww2dbase[New York Navy Yard|Brooklyn, New York|CPC]"
1931-05-26,"USS Arizona embarked US President Herbert Hoover and departed Hampton Roads, Virginia, United States for a trip to Puerto Rico and the Virgin Islands.ww2dbase[Arizona|CPC]"
1931-05-29,"The keel of Algérie was laid down at Brest, France.ww2dbase[Algérie|Brest, Bretagne|CPC]"
1931-05-30,The 2MR8 aircraft took its first flight.ww2dbase[2MR8|CPC]
1931-05-31,"USS Arizona arrived at Hampton Roads, Virginia, United States and disembarked US President Herbert Hoover.  She departed for Rockland, Maine, United States later on the same day to perform post-modernization trials.ww2dbase[Arizona|CPC]"
1931-06-01,"A serious air crash occurred at Bazaar, Kansas, United States.  Among those killed as a result of structural failure in the Atlantic-built Fokker F.10A was Knute Rockne, coach of the Notre Dame football team.  The resuting publicity led to TWA withdrawing their entire Fokker fleet and the F.10A was to become the first aircraft type to be officially grounded by the US Department of Commerce.ww2dbase[Bazaar, Kansas|AC]"
1931-06-05,Werner Mölders joined the German Army as an officer cadet.ww2dbase[Werner Mölders|CPC]
1931-06-06,"In a fog, HMS Glorious accidentally rammed the French liner Florida, damaging the flying-off deck, killing 1 aboard Glorious, and killing 24 aboard Florida.ww2dbase[Glorious|AC]"
1931-06-09,Commander Genzo Honda was made the commanding officer of Kamoi.ww2dbase[Kamoi|CPC]
1931-06-10,"The pilot training program at the Republic of China Military Academy in Nanjing, China was separated from the command of the academy in preparation for an independent command.ww2dbase[Nanjing|CPC]"
